CODIGO,CATEGORIA,DETALLE,P_UNIT,P_CUARTO,P_DOCENA,STOCK,C_PROMO,P_PROMO,COSTO_REAL,MARGEN_UNI
878244,PLASTIQUERIA,CET DINAMO 3,20.00,,,1,no.png,0.00,0.00,0.00
8333666173149,PLASTIQUERIA,TAPER,10.00,,,0,no.png,0.00,0.00,0.00
102554,PLASTIQUERIA,RESIPIENTE CEBOLLA,10.00,,,1,no.png,0.00,0.00,0.00
706338,PLASTIQUERIA,PORTA COMIDA MASCULINO,20.00,,,1,no.png,0.00,0.00,0.00
445310,,PORTA COMIDA 2 NIVELES MASCULINO,20.00,,,1,no.png,0.00,0.00,0.00
6989614014228,PLASTIQUERIA,PORTA COMIDA 2 NIVELES RECTANGULO,25.00,,,1,no.png,0.00,0.00,0.00
697401,PLASTIQUERIA,ALMACENADOR DE ALIMENTOS,18.00,,,1,no.png,0.00,0.00,0.00
7750062006443,PLASTIQUERIA,PORTA ROLLO,13.00,35.00,130.00,23,6,65.00,0.00,0.00
663252,PLASTIQUERIA,CET RECIPIENTES X 6,12.00,,,1,no.png,0.00,0.00,0.00
206636,PLASTIQUERIA,CET AMACENADORES X2,25.00,,,1,no.png,0.00,0.00,0.00
7750062950326,PLASTIQUERIA,CANASTILLA PANAL,8.00,,,1,no.png,0.00,0.00,0.00
7750062011287,PLASTIQUERIA,PORTA UTIL UNIVERSAL,15.00,00,00,18,no.png,0.00,0.00,0.00
7750062006191,PLASTIQUERIA,UTILIARIO SALSA X 3,13.00,00,00,3,no.png,0.00,0.00,0.00
7750062000281,PLASTIQUERIA,JARRA BONITA,15.00,,,2,no.png,0.00,0.00,0.00
7750062200018,PLASTIQUERIA,JARRA FAMILIAR 3L,12.00,0,0,12,no.png,0.00,0.00,0.00
7750062007051,PLASTIQUERIA,COLADOR FINO,5.00,,,8,no.png,0.00,0.00,0.00
6935780154152,,PELADOR VERTICAL,10.00,,,13,no.png,0.00,0.00,0.00
7750621158330,,SUPRESOR DE 6 ENTRADAS,55.00,,,3,no.png,0.00,0.00,0.00
7750062030257,PLASTIQUERIA,RECOGEDOR PRACTI REY,12.00,00,00,16,00,00,0.00,0.00
7750062030264,PLASTIQUERIA,RECOGEDOR GRANDE,14.00,00,,19,00,,0.00,0.00
2103,PLASTIQUERIA,TOMATODO GRANDE,35.00,,,5,no.png,0.00,0.00,0.00
001,PLASTIQUERIA,ESPRIMIDOR DE AJOS,10.00,,,10,no.png,0.00,0.00,0.00
6970576000237,PLASTIQUERIA,TOMATODO VALEROX,28.00,,,2,no.png,0.00,0.00,0.00
6120190600362,PLASTIQUERIA,TOMA TODO MEDIANO,28.00,,,5,no.png,0.00,0.00,0.00
004,PLASTIQUERIA,TOMATODO DISNEY,25.00,,,1,no.png,0.00,0.00,0.00
1111,PLASTIQUERIA,SET LONCHERA,13.00,,,2,no.png,0.00,0.00,0.00
05N,,TAPER NIÑO,3.00,,,1,no.png,0.00,0.00,0.00
JG001,OLLAS,SET X4  MANUFACTURS BELLA,115.00,00,00,0.00,no.png,0.00,0.00,0.00
S450,SARTENES,SARTENES,45.00,0,,0,no.png,0.00,0.00,0.00
S400,SARTEN,SARTEN #24,40.00,0,0,1,no.png,0.00,0.00,0.00
S350,SARTEN,SARTEN #22,35.00,0,0,0,no.png,0.00,0.00,0.00
S20,SARTEN,SARTEN #20,30.00,0,0,0,no.png,0.00,0.00,0.00
JG002,OLLAS,JUEGO DE OLLAS _AZUL,115.00,0,0,1,no.png,0.00,0.00,0.00
00305,OLLAS,OLLA #30 AMERICANA,58.00,0,,1,no.png,0.00,0.00,0.00
00285,OLLAS,OLLA #28,50.00,00,0,1,no.png,0.00,0.00,0.00
08305,OOLAS,OLLA SOLA # 30 AMERICANA,68.00,,,0,no.png,0.00,0.00,0.00
08285,OLLAS,OLLA SOLA AMERICANA #28,60.00,,,1,no.png,0.00,0.00,0.00
JG004,OLLAS,J. OLLAS ARONSA,190.00,0,,1,no.png,0.00,0.00,0.00
JG005,OLLAS,SET OLLAS  BRALA X4,185.00,00,00,2,00,0.00,0.00,0.00
8532T,TETERA,TETERA #32,85.00,0,0,1,no.png,0.00,0.00,0.00
8030T,TETERA,TETERA #30,80.00,,,1,no.png,0.00,0.00,0.00
7528T,TETERA,TETERA #28,75.00,,,1,no.png,0.00,0.00,0.00
JG006,OLLAS,J. OLLAS CUBA X4,195.0,0,0,0,no.png,0.00,0.00,0.00
JG007,OLLAS,J. OLLAS DORADO X5,220.00,00,00,0,no.png,0.00,0.00,0.00
7026T,TETERA,TETERA #26,70.00,,,0,no.png,0.00,0.00,0.00
6524T,TETERA,TETERA #24,65.00,,,0,no.png,0.00,0.00,0.00
6022T,TETERA,TETERA #22,60.00,0,0,0,no.png,0.00,0.00,0.00
5520T,TETERA,TETERA #20,45.00,0,,1,no.png,0.00,0.00,0.00
5018T,TETERA,TETERA #18,30.00,0,,1,no.png,0.00,0.00,0.00
GB89,TOMATODO,TOMA TODO CON MEDIDOR DE TEMP.,25.00,,,2,no.png,0.00,0.00,0.00
"3022170,COCINA,""SET DE AZUCARERA, MANTEQUILLERA, LECHERA"",50.00,,,1,no.png,0.00,0.00,0.00"
395614,AZORTI,SET X6 TAZAS NEBULA,70.000,,,1,no.png,0.00,0.00,0.00
245249,AZORTI,SET X6 TAZAS VIDRIO DOBL. PARED,55.00,,,1,no.png,0.00,0.00,0.00
719909,AZORTI,SET DE COPAS X4 NATAL,45.00,,,1,no.png,0.00,0.00,0.00
3027148,AZZORTI,SET DE VAJILLA X12 FESTA,160.00,,,1,no.png,0.00,0.00,0.00
387170,,SET DE VAJILLA X12 BONNI,160.00,,,2,no.png,0.00,0.00,0.00
798135,AZZORTI,SET DE VAJILLAS POR 12 LORIET,160.00,,,1,no.png,0.00,0.00,0.00
338907,AZZORTI,SET DE JARRA MAS 6 VASOS LORIET,60.00,,,1,no.png,0.00,0.00,0.00
384557,AZZORTI,MOLINO MANUAL AMBIENTA,40.00,,,1,no.png,0.00,0.00,0.00
236048,AZZORTI,CAFETERA ZEN 220V,95.00,,,1,no.png,0.00,0.00,0.00
894676,,JARRA DE VIDRIO MAS 6 BH,60.00,,,0,no.png,0.00,0.00,0.00
228656,,SET DE JARRA MAS 4 VASOS DELIA,60.00,,,1,no.png,0.00,0.00,0.00
6950406505385,VASOS,SET DE VASOS POR 6 GLASS CUP,35.00,,,1,no.png,0.00,0.00,0.00
6961,COCINA,SARTEN 24CM FORTALEZA,70.00,,,0,no.png,0.00,0.00,0.00
826532,COCINA,TETERA2.5 LT ZENTRA,85.00,,,1,00,0.00,0.00,0.00
